AAB	Abelag Aviation - Belgium	ABG
TLK	Starlink Aviation - Canada	STARLINK
TLL	Trans Atlantic Airlines - Sierra Leone	ATLANTIC LEONE
TLM	Thai Lion Mentari - Thailand	MENTARI
TLO	Eagle Canyon Airlines - United States	TALON AIR
TLP	Tulip Air - Netherlands	TULIPAIR
TLR	Air Libya Tibesti - Libya	AIR LIBYA
TLS	TLC Air - United States	TEALSY
TLT	Turtle Airways - Fiji	TURTLE
TLU	Aero Toluca Internactional - Mexico	AEROTOLUCA
TLV	Travelair - Uruguay	PAJAROS
TLW	Teamline Air - Austria	Teamline
TLX	Telesis Transair - United States	TELESIS
TLY	Top-Fly - Spain	TOPFLY
TMA	Trans Mediterranean Airlines - Lebanon	TANGO LIMA
TMC	Travel Management Company - United States	TRAIL BLAZER
TMD	Transmandu - Venezuela	TRANSMANDU
TME	Aero Taxi del Centro de Mexico - Mexico	TAXICENTRO
TMG	Tri-MG Intra Asia Airlines - Indonesia	TRILINES
TMH	Taxis Turisticos Marakame - Mexico	TAXIMARAKAME
TMI	Tamir Airways - Israel	TAMIRWAYS
TMK	Tomahawk Airways - United States	TOMAHAWK
TML	Transports et Travaux Aériens de Madagascar - Madagascar	TAM AIRLINE
TMM	TMC Airlines - United States	WILLOW RUN
TMP	Arizona Express Airlines - United States	TEMPE
TMQ	TRAM - Mauritania	TRAM AIR
TMR	Timberline Air - Canada	TIMBER
TMS	Temsco Helicopters - United States	TEMSCO
TMT	Trans Midwest Airlines - United States	TRANS MIDWEST
TMX	Tramon Air - South Africa	TRAMON
TMY	Transportes Aéreos del Mundo Maya - Mexico	MUNDO MAYA
TMZ	Transporte Amazonair - Venezuela	TRANS AMAZON
TNB	Trans Air-Benin - Benin	TRANS-BENIN
TNC	National Aviation Consultants - Canada	NATCOM
TND	Aero Taxis Cessna - Mexico	TAXIS CESSNA
TNE	Taxis Aéreos del Noroeste - Mexico	TAXINOROESTE
TNF	Transafricaine - Burkina Faso	TRANSFAS
TNI	Transair International Linhas Aéreas - United States	TRANSINTER
TNL	Tengeriyn Ulaach Shine - Mongolia	SKY HORSE
TNM	Tiara Air - Aruba	TIARA
TNO	Aerotransporte de Carga Union - Mexico	AEROUNION
TNP	Transped Aviation - Austria	TRANSPED
TNR	Tanana Air Services - United States	TAN AIR
TNT	Trans North Turbo Air - Canada	TRANS NORTH
TNV	Transnorthern - United States	TRANSNORTHERN
TNW	Trans Nation Airways - Ethiopia	TRANS-NATION
TNX	Trener Ltd - Hungary	TRAINER
TNY	Twin Town Leasing Company - United States	TWINCAL
TOB	Tobruk Air - Libya	TOBRUK AIR
TOC	Aerotropical - Mexico	TROPICMEX
TOF	RAF Topcliffe?Flying Training Unit - United Kingdom	TOPCLIFFE
TOH	Air Tomisko - Serbia	TOMISKO CARGO
TOJ	TOJ Airlines - Tajikistan	TOJ AIRLINE
TOK	Airlines PNG - Papua New Guinea	BALUS
TOL	Tol-Air Services - United States	TOL AIR
TOM	Thomson Airways - United Kingdom	TOMSON
TON	Aero Tonala - Mexico	AEROTONALA
TOP	Top Air - Indonesia	AIR TOP
TOR	Toronto Airways - Canada	TORONTAIR
TOS	Tropic Air - Belize	TROPISER
TOW	Tower Air - United States	TEE AIR
TOX	Neosiam Airways - Thailand	SKY KINGDOM
TOY	Toyota Canada - Canada	TOYOTA
TPA	TAMPA - Colombia	TAMPA
TPB	Aero Tropical - Angola	AERO TROPICAL
TPC	Air Calédonie - France	AIRCAL
TPD	Top Speed - Austria	TOP SPEED
TPF	Taxis Aéreos del Pacífico - Mexico	TAXIPACIFICO
TPG	Transportes Aéreos Pegaso - Mexico	TRANSPEGASO
TPK	Air Horizon - Chad	TCHAD-HORIZON
TPL	TAR Interpilot - Mauritania	INTERPILOT
TPM	Transpaís Aéreo - Mexico	TRANSPAIS
TPN	Transportación Aérea del Norte - Mexico	AEREA DELNORTE
TPO	Aero Taxi del Potosi - Mexico	TAXI-POTOSI
TPP	Transpac Express - Australia	TRANS EXPRESS
TPR	Taxis Aéreos De Parral - Mexico	TAXIS PARRAL
TPS	TAPSA?Transportes Aéreos Petroleros - Argentina	TAPSA
TPT	Transportes Aéreo del Sureste - Mexico	TASSA
TPU	Trans American Airlines?(Trans Am) - Peru	TRANS PERU
TPV	Thai Pacific Airlines Business - Thailand	THAI PACIFIC
TPX	Transportes Aéreos De Xalapa - Mexico	TRANSXALAPA
TPY	Trans-Provincial Airlines - Canada	TRANS PROVINCIAL
TPZ	Transportes La Paz - Mexico	TRANSPAZ
TQE	Taxair Mexiqienses - Mexico	TAXAIR
TQM	JM Family Aviation - United States	TACOMA
TQN	Taquan Air Services - United States	TAQUAN
TQR	Transportación Aérea De Querétaro - Mexico	TRANSQUERETARO
TQS	Aeroturquesa - Mexico	AEROTURQUESA
TRA	Transavia Holland - Netherlands	TRANSAVIA
TRB	Ukraine Transavia - Ukraine	KIROVTRANS
TRC	Trans Air Charter - United States	TRACKER
TRD	Trans Island Air - Barbados	TRANS ISLAND
TRF	Taxi Air Fret - France	TAXI JET
TRI	Executive Flight Operations?Ontario Government - Canada	TRILLIUM
TRJ	Trans Euro Air - United Kingdom	HIGH TIDE
TRK	Turkish Airlines?General Aviation - Turkey	TURKISH REPUBLIC
TRL	Starlite Aviation - South Africa	STARSTREAM
TRM	Transport Aerien de Mauritanie - Mauritania	SOTRANS
TRN	Servicios Aéreos Corporativos - Mauritania	AEROTRON
TRO	Tropic Airlines-Air Molokai - United States	MOLOKAI
TRP	Maryland State Police - United States	TROOPER
TRQ	Turdus Airways - Netherlands	HUNTER
TRR	Tramson Limited - Sudan	TRAMSON
TRT	Trans Arabian Air Transport - Sudan	TRANS ARABIAN
TRU	Triangle Airline (Uganda) - Uganda	TRI AIR
TRW	Transwestern Airlines of Utah - United States	TRANS-WEST
TRY	Tristar Airlines - United States	TRISTAR AIR
TSA	Transair France - France	AIRTRAF
TSC	Air Transat - Canada	AIR TRANSAT
TSD	TAF-Linhas Aéreas - Brazil	TAFI
TSE	Transmile Air Services - Malaysia	TRANSMILE
TSG	Trans-Air-Congo - Republic of the Congo	TRANS-CONGO
TSH	Regional 1 - Canada	TRANSCANADA
TSI	Transport'air - France	TRANSPORTAIR
TSK	Trast Aero - Kyrgyzstan	TOMSK-AVIA
TSL	Thai Aviation Services - Thailand	THAI AVIATION
TSN	Trans-Air Services - Nigeria	AIR TRANS
TSO	Transaero Airlines - Russia	TRANSOVIET
TSP	Transportes Aéreos Inter - Guatemala	TRANSPO-INTER
TSQ	airtransse - Japan	AIRTRA
TSR	Trans Service Airlift - Democratic Republic of Congo	TRANS SERVICE
TSS	Tri-State Aero - United States	TRI-STATE
TST	TRAST - Kazakhstan	TRAST
TSU	Gulf & Caribbean Cargo /?Contract Air Cargo - United States	TRANSAUTO
TSV	Tropair Airservices - United Kingdom	TROPIC
TSW	Transwings - Switzerland	SWISSTRANS
TSX	Thai Star Airlines - Thailand	THAI STAR
TSY	Tristar Air - Egypt	TRIPLE STAR
TTA	TTA?- Sociedade de Transporte e Trabalho Aéreo - Mozambique	KANIMANBO
TTB	Aerolíneas Turísticas del Caribe - Mexico	AERO TURISTICAS
TTC	Transteco - Angola	TRANSTECO
TTE	Avcenter - United States	TETON
TTF	224th Flight Unit - Russia	CARGO UNIT
TTL	Total Linhas Aéreas - Brazil	TOTAL
TTM	Societe Tout Transport Mauritanien - Mauritania	TOUT-AIR
TTN	Absolute Flight Services - South Africa	TITANIUM
TTP	Triple O Aviation - Nigeria	MIGHTY WING
TTR	Transportaciones Y Servicios Aéreos - Mexico	TRANSPORTACIONES
TTS	Transporte Aéreo Técnico Ejecutivo - Mexico	TECNICO
TTW	Tigerair Taiwan - Taiwan	SMART CAT
TUA	Turkmenhovayollary - Turkmenistan	TURKMENISTAN
TUC	Turismo Aéreo de Chile - Chile	TURICHILE
TUD	Flight Alaska - United States	TUNDRA
TUK	Ocean Wings Commuter Service - United States	TUCKERNUCK
TUL	Tulpar Air - Russia	URSAL
TUM	Tyumenspecavia - Russia	TUMTEL
TUM	UTAir - Russian Federation	UTAIR-CARGO
TUO	Taxi Aéreo Turístico - Mexico	TURISTICO
TUP	Aviastar-Tu - Russia	TUPOLEVAIR
TUS	ABSA Cargo - Brazil	Turismo
TUX	Tulpar Air Service - Kazakhstan	TULPA
TUY	Línea Turística Aereotuy - Venezuela	AEREOTUY
TUZ	Tuna Aero - Sweden	TUNA
TVA	Trans America Airlines - United States	TRANS-AMERICA
TVF	Transavia France - France	FRANCE SOLEIL
TVH	Trabajos Aéreos Vascongados - Spain	TRAVASA
TVI	Tiramavia - Moldova	TIRAMAVIA
TVJ	Thai Vietjet Air - Thailand	THAIVIET JET
TVO	Transavio - Italy	TRANS-BALLERIO
TVR	Tavrey Airlines - Ukraine	TAVREY
TVS	Travel Service - Czech Republic	SKYTRAVEL
TWB	T'way Air - Republic of Korea	TWAYAIR
TWE	Transwede Airways - Sweden	TRANSWEDE
TWF	247 Jet Ltd - United Kingdom	CLOUD RUNNER
TWG	air-taxi Europe - Germany	TWINGOOSE
TWL	Tradewinds Aviation - Canada	TRADEWINDS CANADA
TWN	Avialeasing Aviation Company - Uzbekistan	TWINARROW
TWO	Twente Airlines - Netherlands	COLIBRI
TWW	Trans Air Welwitchia - Angola	WELWITCHIA
TWY	"Sunset Aviation, LLC" - United States	TWILIGHT
TXA	Texair Charter - United States	OKAY AIR
TXB	Bell Helicopter Textron - Canada	TEXTRON
TXC	TransAVIAexport Airlines - Belarus	TRANSEXPORT
TXD	Aerotaxis del Noroeste - Mexico	TAXI OESTE
TXE	Transilvania Express - Romania	TRANSAIR EXPRESS
TXF	Aerotaxis Alfe - Mexico	ALFE
TXI	Aereotaxis - Mexico	AEREOTAXIS
TXJ	Asian Sky Group - China	TAIXIANG/梧桐
TXL	Taxi Aéreo Cozatl - Mexico	TAXI COZATL
TXM	Taxi Aéreo de México - Mexico	TAXIMEX
TXN	Texas National Airlines - United States	TEXAS NATIONAL
TXO	Taxis Aéreos de Sinaloa - Mexico	TAXIS SINALOA
TXR	Taxirey - Mexico	TAXIREY
TXS	Texas Airlines - United States	TEXAIR
TXT	Texas Air Charters - United States	TEXAS CHARTER
TXU	ATESA Aerotaxis Ecuatorianos - Ecuador	ATESA
TXV	Puerto Vallarta Taxi Aéreo - Mexico	TAXIVALLARTA
TXZ	Tex Star Air Freight - United States	TEX STAR
TXZ	Thai Express Air - Thailand	EXPRESS AIR
TYF	Tayflite - United Kingdom	TAYFLITE
TYG	Trygg-Flyg - Sweden	TRYGG
TYW	Tyrol Air Ambulance - Austria	TYROL AMBULANCE
TZA	Aero Tomza - Mexico	AERO TOMZA
TZE	Transporte Aéreo Ernesto Saenz - Mexico	TRANSPORTE SAENZ
TZK	Tajikistan International Airlines - Tajikistan	TAJIKSTAN
TZT	Air Zambezi - Zimbabwe	ZAMBEZI
TZU	Servicios Aéreos Tamazula - Mexico	TAMAZULA
UAB	United Arabian Airlines - Sudan	UNITED ARABIAN
UAC	United Air Charters - Zimbabwe	UNITAIR
UAE	Emirates Airline - United Arab Emirates	EMIRATES
UAF	United Arab Emirates Air Force - United Arab Emirates	UNIFORCE
UAG	Afra Airlines - Ghana	AFRALINE
UAI	Union Africaine des Transports - Ivory Coast	UNAIR
UAK	Kiev Aviation Plant - Ukraine	AVIATION PLANT
UAL	United Airlines - United States	UNITED
UAR	Aerostar Airlines - Ukraine	AEROSTAR
UBA	Myanma Airways - Myanmar	UNIONAIR
UBD	United Airways - Bangladesh	UNITED BANGLADESH
UCA	CommutAir - United States	COMMUTAIR
UCC	Uganda Air Cargo - Uganda	UGANDA CARGO
UCG	Uniworld Air Cargo - Panama	UNIWORLD
UCH	US Airports Air Charter - United States	US CHARTER
UCK	Air Division of the Eastern Kazakhstan Region - Kazakhstan	GALETA
UCO	Ucoaviacion - Spain	UCOAVIACION
UCR	Aero-Charter Ukraine - Ukraine	CHARTER UKRAINE
UCS	United Carriers Systems - United States	UNITED CARRIERS
UDA	Psudiklat Perhubungan Udara/PLP - Indonesia	UDARA
UDC	DonbassAero - Ukraine	DONBASS AERO
UDN	Dniproavia - Ukraine	DNIEPRO
UEA	United Eagle Airlines - China	UNITED EAGLE/锦绣
UED	Air LA - United States	AIR L-A
UEJ	Jetcorp - United States	JETCORP
UES	Ues-Avia Aircompany - Ukraine	AVIASYSTEM
UEU	United European Airlines - Romania	UNITED EUROPEAN
UFA	State Flight Academy of Ukraine - Ukraine	FLIGHT ACADEMY
UFS	United Feeder Service - United States	FEEDER EXPRESS
UGA	Air Uganda - Uganda	UGANDA
UGA	Uganda Airlines - Uganda	UGANDA
UGC	Urgemer Canarias - Spain	URGEMER
UGL	Inter-Island Air - United States	UGLY VAN
UGN	Yuzhnaya Aircompany - Kazakhstan	PLUTON
UGP	Shar Ink - Russia	SHARINK
UHL	Ukrainian Helicopters - Ukraine	UKRAINE COPTERS
UHS	Ulyanovsk Higher Civil Aviation School - Russia	PILOT AIR
UIA	UNI Air - Taiwan	GLORY
UIT	University of Troms? School of Aviation - Norway	ARCTIC
UJR	Universal Jet Rental de Mexico - Mexico	UNIVERSAL JET
UJT	Universal Jet Aviation - United States	UNI-JET
UJX	Atlas Ukraine Airlines - Ukraine	ATLAS UKRAINE
UKA	Buzzaway Limited - United Kingdom	UKAY
UKI	UK International Airlines - United Kingdom	KHALIQ
UKL	Ukraine Air Alliance - Ukraine	UKRAINE ALLIANCE
UKM	UM Airlines - Ukraine	UKRAINE MEDITERRANEE
UKN	Ukraine Air Enterprise - Ukraine	ENTERPRISE UKRAINE
UKP	United Kingdom Home Office - United Kingdom	POLICE
UKR	Air Ukraine - Ukraine	AIR UKRAINE
UKS	Ukrainian Cargo Airways - Ukraine	CARGOTRANS
UKU	Second Sverdlovsk Air Enterprise - Russia	PYSHMA
UKW	Lviv Airlines - Ukraine	UKRAINE WEST
ULH	Ultimate HELI - South Africa	ULTIMATEHELI
ULR	Ultimate Air - South Africa	VIPER
ULS	Carroll Air Service - United States	ULSTER
ULT	Ultrair - United States	ULTRAIR
UMA	Líneas Aéreas del Humaya - Mexico	HUMAYA
UMB	Air Umbria - Italy	AIR UMBRIA
UMK	Yuzhmashavia - Ukraine	YUZMASH
UNA	Emperor Express - China	United Asia/亚联
UNC	Uni-Fly - Denmark	UNICOPTER
UND	Atuneros Unidos de California - Mexico	ATUNEROS UNIDOS
UNF	Union Flights - United States	UNION FLIGHTS
UNJ	Universal Jet - Spain	PROJET
UNR	Rivne Universal Avia - Ukraine	RIVNE UNIVERSAL
UNS	Unsped Paket Servisi - Turkey	UNSPED
UNT	Servicios Aéreos Universitarios - Mexico	UNIVERSITARIO
UNU	Unifly Servizi Aerei - Italy	UNIEURO
UNY	Lund University School of Aviation - Sweden	UNIVERSITY
UPL	Ukrainian Pilot School - Ukraine	PILOT SCHOOL
UPS	United Parcel Service - United States	UPS
URA	Aircompany Rosavia - Ukraine	ROSAVIA
URF	Surf Air - United States	SURF AIR
URG	Air Urga - Ukraine	URGA
URN	Turan Air - Azerbaijan	TURAN
URP	ARP 410 Airlines - Ukraine	AIR-ARP
URV	Uraiavia - Russia	URAI
URY	Century Aviation - Mexico	CENTURY AVIA
USB	Tusheti - Georgia	TUSHETI
USF	USAfrica Airways - United States	AFRICA EXPRESS
USH	US Helicopter - United States	US-HELI
USJ	US Jet - United States	USJET
USK	Skif-Air - Ukraine	SKIF-AIR
USN	Smarkand Aero Servise - Uzbekistan	SAMAS
UST	Austro Aéreo - Ecuador	AUSTRO AEREO
USW	Special Aviation Works - Uzbekistan	AKSAR
USX	US Express - United States	AIR EXPRESS
UTA	UTair Aviation - Russia	UTAIR
UTG	UTAGE - Equatorial Guinea	UTAGE
UTM	TAPC Aviatrans Aircompany - Uzbekistan	AVIATAPS
UTN	UTair-Ukraine - Ukraine	UT Ukraine
UTP	Uni-top Airlines - China	UNI TOP/友和
UTR	Utair South Africa - South Africa	AIRUT
UTS	Ukrainian State Air Traffic Service Enterprise - Ukraine	AIRRUH
UTT	Transarabian Transportation Services - Uganda	ARABIAN TRANSPORT
UTY	Alliance Airlines - Australia	UNITY
UVA	Universal Airways - United States	UNIVERSAL
UVG	Universal Airlines - Guyana	GUYANA JET
UVM	Uvavemex - Mexico	UVAVEMEX
UVN	United Aviation - Kuwait	UNITED AVIATION
UVT	Auvia Air - Indonesia	AUVIA
UZA	Constanta Airline - Ukraine	CONSTANTA
UZB	Uzbekistan Airways - Uzbekistan	UZBEK
UZS	Samarkand Airways - Uzbekistan	SOGDIANA
VAA	Van Air Europe - Czech Republic	EUROVAN
VAC	Vacationair - Canada	VACATIONAIR
VAD	Aero Taxi Los Valles - Spain	VALLES
VAE	Air Evans - Spain	AIR-EVANS
VAG	Vega - Kazakhstan	SEGA
VAI	Avalair - Serbia	AIR AVALAIR
VAL	Voyageur Airways - Canada	VOYAGEUR
VAM	Ameravia - Uruguay	AMERAVIA
VAN	Caravan Air - Mauritania	CAMEL
VAP	Phuket Air - Thailand	PHUKET AIR
VAR	Veca Airlines - El Salvador	VECA
VAS	ATRAN Cargo Airlines - Russian Federation	ATRAN
VAT	Visionair - Ireland	VISIONAIR
VAZ	Airlines 400 - Russia	REMONT AIR
VBA	V Bird Airlines Netherlands - Netherlands	VEEBEE
VBC	AVB-2004?Ltd - Bulgaria	AIR VICTOR
VBD	V-Berd-Avia - Armenia	VEEBIRD-AVIA
VBG	North-West Air Transport Company - Vyborg - Russia	VYBORG AIR
VBH	Virgin Blue Holdings - Australia	BLUEY
VBW	Air Burkina - Burkina Faso	BURKINA
VCA	VICA - Viacao Charter Aéreos - Brazil	VICA
VCH	Consorcio Helitec - Venezuela	CONSORCIO HELITEC
VCI	CI-Tours - Ivory Coast	CI-TOURS
VCM	Volare Air Charter Company - United States	CARMEN
VCN	Execujet Charter - Switzerland	AVCON
VCR	Cruiser Linhas Aéreas - Brazil	VOE CRUISER
VCT	Viscount Air Service - United States	VISCOUNT AIR
VCV	Conviasa - Venezuela	CONVIASA
VCX	Ocean Airlines - Italy	OCEANCARGO
VDA	Volga-Dnepr Airlines - Russia	VOLGA-DNEPR
VDO	Servicios Aéreos Avandaro - Mexico	AVANDARO
VDR	Air Vardar - Macedonia	VARDAR
VDR	Voldirect - France	VOLDIR
VEA	Vega Airlines - Bulgaria	VEGA AIRLINES
VEC	Venescar Internacional - Venezuela	VECAR
VEE	Victor Echo - Spain	VICTOR ECHO
VEG	Aerovega - Mexico	AEROVEGA
VEI	Virgin Express Ireland - Ireland	GREEN ISLE
VEJ	Aero Ejecutivos - Venezuela	VENEJECUTIV
VEN	Transaven - Venezuela	TRANSAVEN AIRLINE
VER	Almaver - Mexico	ALMAVER
VES	Vieques Air Link - United States	VIEQUES
VEX	Virgin Express - Belgium	VIRGIN EXPRESS
VFC	Vietnam Air Services Company?(VASCO) - Vietnam	VASCO AIR
VFT	VZ Flights - Mexico	ZETA FLIGHTS
VGC	Vanguardia en Aviación en Colima - Mexico	VANGUARDIA COLIMA
VGD	Vanguard Airlines - United States	VANGUARD AIR
VGF	Aerovista Gulf Express - United Arab Emirates	VISTA GULF
VGN	Virgin Nigeria Airways - Nigeria	VIRGIN NIGERIA
VGO	Sabaidee Airways - Thailand	VIRGO
VGS	Stichting Vliegschool 16Hoven - Netherlands	SMART
VGV	Vologda State Air Enterprise - Russia	VOLOGDA AIR
VHA	VH-Air Industrie - Angola	AIR V-H
VHM	VHM Schul-und-Charterflug - Germany	EARLY BIRD
VHT	Corporate Flight International - United States	VEGAS HEAT
VIB	Vibroair Flugservice - Germany	VITUS
VIC	VIP Servicios Aéreos Ejecutivos - Mexico	VIP-EJECUTIVO
VIE	VIP Empresarial - Mexico	VIP EMPRESARIAL
VIF	VIF Luftahrt - Austria	VIENNA FLIGHT
VIG	Vega Aviation - Sudan	VEGA AVIATION
VIH	Vichi - Moldova	VICHI
VIK	Viking Airlines - Sweden	SWEDJET
VIL	V I Airlink - British Virgin Islands	TURTLE DOVE
VIN	Vinair Aeroservi?os - Portugal	VINAIR
VIP	Tag Aviation UK - United Kingdom	SOVEREIGN
VIR	Virgin Atlantic Airways - United Kingdom	VIRGIN
VIV	Aeroenlaces Nacionales - Mexico	AEROENLACES
VIV	VIVA Aerobus - Mexico	AEROENLACES
VIZ	Aerovis Airlines - Ukraine	AEROVIZ
VJA	ValuJet Airlines - United States	CRITTER
VJC	Vietjet Air - Vietnam	VIETJET
VJM	Viajes Ejecutivos Mexicanos - Mexico	VIAJES MEXICANOS
VJT	Vistajet - Canada	VISTA
VLA	Valan International Cargo Charter - South Africa	NALAU
VLB	Air Volta - Bulgaria	VOLTA
VLE	C.A.I. Second - Italy	VOLA
VLF	DFS UK Limited - United Kingdom	VOLANTE
VLG	Vueling Airlines - Spain	VUELING
VLK	Vladivostok Air - Russia	VLADAIR
VLM	VLM Airlines - Belgium	RUBENS
VLN	Valan Limited - Moldova	VALAN
VLO	Varig Logística - Brazil	VELOG
VLR	Aerolíneas Villaverde - Mexico	VILLAVERDE
VLR	Volare 22 X - Mexico	VOLAX
VLS	Aero Virel - Mexico	VIREL
VLT	Vertical-T Air Company - Russia	VERTICAL
VLU	Valuair - Singapore	VALUAIR
VLV	Avialift Vladivostok - Russia	VLADLIFT
VLX	Biz Jet Charter - United States	AVOLAR
VMA	Vero Monmouth Airlines - United States	VERO MONMOUTH
VME	Aviación Comercial de América - Mexico	AVIAMERICA
VMM	Grupo Vuelos Mediterraneo - Spain	VUELOS MED
VMP	Execujet Scandinavia - Denmark	VAMPIRE
VMX	Aeroventas de Mexico - Mexico	VENTA
VNA	Empresa Aviación Interamericana - Uruguay	EBBA
VNE	Empresa Venezolana - Venezuela	VENEZOLANA
VNG	Aero Servicios Vanguardia - Mexico	VANGUARDIA
VNL	Vanilla Air - Japan	VANILLA
VNR	Avantair - United States	AVANTAIR
VNT	Avient Air Zambia - Zambia	AVIENT
VNX	Fly Advance - United States	VANCE
VNZ	Tbilaviamsheni - Georgia	TBILAVIA
VOA	Viaggio Air - Bulgaria	VIAGGIO
VOE	Volotea - Spain	VOLOTEA
VOG	Voyager Airlines - Bangladesh	VOYAGER AIR
VOI	Volaris - Mexico	VOLARIS
VOL	Blue Chip Jet - Sweden	BLUE SPEED
VOS	Rovos Air - South Africa	ROVOS
VOZ	Virgin Australia - Australia	VELOCITY
VOZ	Virgin Australia Airlines - Australia	VELOCITY
VPA	DanubeWings - Slovakia	VIP TAXI
VPB	Veteran Air - Ukraine	VETERAN
VPV	VIP-Avia - Georgia	VIP AVIA
VRA	Vertair - United Kingdom	VERITAIR
VRB	Silverback Cargo Freighters - Rwanda	SILVERBACK
VRC	Taxi de Veracruz - Mexico	VERACRUZ
VRD	Virgin America - United States	REDWOOD
VRE	Air C?te d'Ivoire - Ivory Coast	COTE DIVORIE
VRE	Volare Airlines - Ukraine	UKRAINE VOLARE
VRI	Aerotaxi Villa Rica - Mexico	VILLARICA
VRL	Voar Lda - Angola	VOAR LINHAS
VRN	VRG Linhas Aéreas - Brazil	VARIG
VRO	Aerovitro - Mexico	AEROVITRO
VRS	Sirvair - Mexico	VAIRSA
VRT	Averitt Air Charter - United States	AVERITT
VSA	Avstar Aviation - South Africa	STARBIRD
VSB	Vickers Limited - United Kingdom	VICKERS
VSG	AirClass Airways - Spain	VISIG
VSN	Vision Airways Corporation - Canada	VISION
VSO	Voronezh Aircraft Manufacturing Society - Russia	VASO
VSR	Aviostart AS - Bulgaria	AVIOSTART
VSS	Virign Islands Seaplane Shuttle - United States	WATERBIRD
VSV	Scat Air - Kazakhstan	VLASTA
VTA	Air Tahiti - French Polynesia	AIR TAHITI
VTC	Vuelos Especializados Tollocan - Mexico	VUELOS TOLLOCAN
VTE	Corporate Flight Management - United States	VOLUNTEER
VTG	Avia??o Transportes Aéreos e Cargas - Angola	ATACARGO
VTH	Vuelos Corporativos de Tehuacan - Mexico	VUELOS TEHUACAN
VTK	Vostok Airlines - Russia	VOSTOK
VTL	Victor Tagle Larrain - Chile	VITALA
VTM	Aeronaves TSM - Mexico	AERONAVES TSM
VTS	Everts Air Alaska/Everts Air Cargo - United States	EVERTS
VTT	Avia Trans Air Transport - Sudan	VIATRANSPORT
VTV	Vointeh - Bulgaria	VOINTEH
VTX	Verataxis - Mexico	VERATAXIS
VTY	Air Midwest (Nigeria) - Nigeria	VICTORY
VUE	AD Aviation - United Kingdom	FLIGHTVUE
VUL	Elios - Italy	ELIOS
VUO	Aerovuelox - Mexico	AEROVUELOX
VUR	Vuelos Internos Privados VIP - Ecuador	VIPEC
VUS	Vuela Bus - Mexico	VUELA BUS
VVC	VivaColombia - Colombia	VivaColombia
VVF	Dunyaya Bakis Hava Tasimaciligi - Turkey	WORLDFOCUS
VVG	Aerovilla - Colombia	AEROVILLA
VVM	Viva Macau - Macao	JACKPOT
VVV	Valair Avia??o Lda - Portugal	VALAIRJET
VXG	Avirex - Gabon	AVIREX-GABON
VXN	Sunset Aviation - United States	VIXEN
VXP	Mali Air Express - Mali	AVION EXPRESS
VXX	Aviaexpress Aircompany - Ukraine	EXPRESSAVIA
VYT	RAF Valley?Flying Training Unit - United Kingdom	ANGLESEY
VZL	Vzlyet - Russia	VZLYET
VZR	Aviazur - France	IAZUR
WAA	Westair Aviation - Namibia	WESTAIR WINGS
WAB	Aero Industries Inc - United States	WABASH
WAC	West African Cargo Airlines - Mauritania	WESTAF CARGO
WAD	RAF Waddington - United Kingdom	VULCAN
WAE	Western Air Express - United States	WESTERN EXPRESS
WAF	Flamenco Airways - United States	FLAMENCO
WAL	Western Arctic Air - Canada	WESTERN ARCTIC
WAM	Air Taxi & Cargo - Sudan	TAXI CARGO
WAN	Wataniya Airways - Kuwait	WATANIYA
WAP	Arrow Panama - Panama	ARROW PANAMA
WAR	NZ Warbirds Association - New Zealand	WARBIRDS
WAS	Walsten Air Services - Canada	WALSTEN
WAV	Warbelow's Air Ventures - United States	WARBELOW
WAW	Wings Airways - United States	WING SHUTTLE
WAY	Airways - France	GARONNE
WBA	Finncomm Airlines - Finland	WESTBIRD
WBR	Multi-Aero - United States	WEBER
WCA	West Coast Airways - Sierra Leone	WEST-LEONE
WCB	West Africa Airlines - Ghana	KILO YANKEE
WCC	Sport Air Travel - United States	WEST COAST
WCC	West Coast Charters - United States	WEST COAST
WCG	West Coast Airlines - Ghana	WHISKY INDIA
WCO	Columbia Helicopters - United States	COLUMBIA HELI
